2016-10-22 23:03:04,435 |main                 |ContainerLoader               |I| [Startup] Loading containers from C:/Users/Windows/git/IMSProject/IMS/framework/base/config/ofbiz-containers.xml for loaders {main}
2016-10-22 23:03:08,323 |main                 |ComponentContainer            |I| Loading component : [content]
2016-10-22 23:03:08,388 |main                 |ComponentContainer            |I| Loading component : [workeffort]
2016-10-22 23:03:08,443 |main                 |ComponentContainer            |I| Loading component : [product]
2016-10-22 23:03:08,509 |main                 |ComponentContainer            |I| Loading component : [manufacturing]
2016-10-22 23:03:08,570 |main                 |ComponentContainer            |I| Loading component : [accounting]
2016-10-22 23:03:08,577 |main                 |ComponentContainer            |W| Location 'C:/Users/Windows/git/IMSProject/IMS/applications/accounting/lib/securepay' does not exist
2016-10-22 23:03:08,578 |main                 |ComponentContainer            |W| Location 'C:/Users/Windows/git/IMSProject/IMS/applications/accounting/lib/cybersource' does not exist
2016-10-22 23:03:08,580 |main                 |ComponentContainer            |W| Location 'C:/Users/Windows/git/IMSProject/IMS/applications/accounting/lib/worldpay' does not exist
2016-10-22 23:03:08,581 |main                 |ComponentContainer            |W| Location 'C:/Users/Windows/git/IMSProject/IMS/applications/accounting/lib/worldpay' does not exist
2016-10-22 23:03:08,632 |main                 |ComponentContainer            |I| Loading component : [humanres]
2016-10-22 23:03:08,716 |main                 |ComponentContainer            |I| Loading component : [order]
2016-10-22 23:03:08,795 |main                 |ComponentContainer            |I| Loading component : [marketing]
2016-10-22 23:03:08,840 |main                 |ComponentContainer            |I| Loading component : [commonext]
2016-10-22 23:03:08,842 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Users/Windows/git/IMSProject/IMS/specialpurpose]
2016-10-22 23:03:08,903 |main                 |ComponentContainer            |I| Loading component : [ecommerce]
2016-10-22 23:03:08,908 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Users/Windows/git/IMSProject/IMS/hot-deploy]
2016-10-22 23:03:08,940 |main                 |ComponentContainer            |I| All components loaded
2016-10-22 23:03:08,940 |main                 |ContainerLoader               |I| Loaded container: component-container
2016-10-22 23:03:08,947 |main                 |ContainerLoader               |I| Loading component's container: classloader-container
2016-10-22 23:03:09,934 |main                 |ClassLoaderContainer          |I| CachedClassLoader created
2016-10-22 23:03:09,934 |main                 |ContainerLoader               |I| Loaded component's container: classloader-container
2016-10-22 23:03:09,934 |main                 |ContainerLoader               |I| Loading component's container: service-container
2016-10-22 23:03:09,950 |main                 |ContainerLoader               |I| Loaded component's container: service-container
2016-10-22 23:03:09,950 |main                 |ContainerLoader               |I| Loading component's container: catalina-container
2016-10-22 23:03:10,184 |main                 |DelegatorFactoryImpl          |I| Creating new delegator [default] (main)
2016-10-22 23:03:16,734 |main                 |ModelViewEntity               |W| [OrderItemQuantityReportGroupByItem]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2016-10-22 23:03:16,735 |main                 |ModelViewEntity               |W| [OrderItemQuantityReportGroupByItem]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOpen
2016-10-22 23:03:16,737 |main                 |ModelViewEntity               |W| [OrderItemQuantityReportGroupByProduct]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2016-10-22 23:03:16,737 |main                 |ModelViewEntity               |W| [OrderItemQuantityReportGroupByProduct]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOpen
2016-10-22 23:03:16,742 |main                 |ModelViewEntity               |W| [OrderReportSalesGroupByProduct]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2016-10-22 23:03:16,747 |main                 |ModelViewEntity               |W| [OrderItemAndShipGrpInvResAndItemSum]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2016-10-22 23:03:16,747 |main                 |ModelViewEntity               |W| [OrderItemAndShipGrpInvResAndItemSum]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: totQuantityAvailable
2016-10-22 23:03:16,882 |main                 |ModelReader                   |I| FINISHED LOADING ENTITIES - ALL FILES; #Entities=843 #ViewEntities=261 #Fields=8782 #Relationships=2902 #AutoRelationships=2155
2016-10-22 23:03:17,098 |main                 |GenericDelegator              |I| Doing entity definition check...
2016-10-22 23:03:17,105 |main                 |ModelEntityChecker            |I| [initReservedWords] array length=1025
2016-10-22 23:03:17,682 |OFBiz-config-1       |GenericDelegator              |I| Delegator "default" initializing helper "localpostolap" for entity group "org.ofbiz.olap".
2016-10-22 23:03:17,683 |OFBiz-config-0       |GenericDelegator              |I| Delegator "default" initializing helper "localposttenant" for entity group "org.ofbiz.tenant".
2016-10-22 23:03:17,682 |OFBiz-config-2       |GenericDelegator              |I| Delegator "default" initializing helper "localpostnew" for entity group "org.ofbiz".
2016-10-22 23:03:17,736 |OFBiz-config-2       |GenericDelegator              |I| Doing database check as requested in entityengine.xml with addMissing=true
2016-10-22 23:03:17,736 |OFBiz-config-0       |GenericDelegator              |I| Doing database check as requested in entityengine.xml with addMissing=true
2016-10-22 23:03:17,736 |OFBiz-config-1       |GenericDelegator              |I| Doing database check as requested in entityengine.xml with addMissing=true
2016-10-22 23:03:19,678 |OFBiz-config-1       |DatabaseUtil                  |E| Unable to establish a connection with the database for helperName [localpostolap]... Error was: java.sql.SQLException: Unable to acquire a new connection from the pool
2016-10-22 23:03:19,679 |OFBiz-config-1       |DatabaseUtil                  |E| Unable to establish a connection with the database, no additional information available.
2016-10-22 23:03:19,679 |OFBiz-config-1       |DatabaseUtil                  |E| Could not get table name information from the database, aborting.
2016-10-22 23:03:19,680 |OFBiz-config-0       |DatabaseUtil                  |E| Unable to establish a connection with the database for helperName [localposttenant]... Error was: java.sql.SQLException: Unable to acquire a new connection from the pool
2016-10-22 23:03:19,680 |OFBiz-config-0       |DatabaseUtil                  |E| Unable to establish a connection with the database, no additional information available.
2016-10-22 23:03:19,680 |OFBiz-config-0       |DatabaseUtil                  |E| Could not get table name information from the database, aborting.
2016-10-22 23:03:21,039 |OFBiz-config-2       |DatabaseUtil                  |I| Database Product Name is PostgreSQL
2016-10-22 23:03:21,039 |OFBiz-config-2       |DatabaseUtil                  |I| Database Product Version is 9.1.18
2016-10-22 23:03:21,039 |OFBiz-config-2       |DatabaseUtil                  |I| Database Driver Name is PostgreSQL Native Driver
2016-10-22 23:03:21,039 |OFBiz-config-2       |DatabaseUtil                  |I| Database Driver Version is PostgreSQL 8.3 JDBC3 with SSL (build 604)
2016-10-22 23:03:21,039 |OFBiz-config-2       |DatabaseUtil                  |I| Database Driver JDBC Version is 3.0
2016-10-22 23:03:21,039 |OFBiz-config-2       |DatabaseUtil                  |I| Database Setting/Support Information (those with a * should be true):
2016-10-22 23:03:21,041 |OFBiz-config-2       |DatabaseUtil                  |I| - supports transactions     [true]*
2016-10-22 23:03:21,041 |OFBiz-config-2       |DatabaseUtil                  |I| - isolation None            [false]
2016-10-22 23:03:21,042 |OFBiz-config-2       |DatabaseUtil                  |I| - isolation ReadCommitted   [true]
2016-10-22 23:03:21,042 |OFBiz-config-2       |DatabaseUtil                  |I| - isolation ReadUncommitted [true]
2016-10-22 23:03:21,043 |OFBiz-config-2       |DatabaseUtil                  |I| - isolation RepeatableRead  [true]
2016-10-22 23:03:21,043 |OFBiz-config-2       |DatabaseUtil                  |I| - isolation Serializable    [true]
2016-10-22 23:03:21,044 |OFBiz-config-2       |DatabaseUtil                  |I| - forward only type         [true]
2016-10-22 23:03:21,046 |OFBiz-config-2       |DatabaseUtil                  |I| - scroll sensitive type     [false]
2016-10-22 23:03:21,047 |OFBiz-config-2       |DatabaseUtil                  |I| - scroll insensitive type   [true]
2016-10-22 23:03:21,050 |OFBiz-config-2       |DatabaseUtil                  |I| - is case sensitive         [false]
2016-10-22 23:03:21,052 |OFBiz-config-2       |DatabaseUtil                  |I| - stores LowerCase          [true]
2016-10-22 23:03:21,053 |OFBiz-config-2       |DatabaseUtil                  |I| - stores MixedCase          [false]
2016-10-22 23:03:21,055 |OFBiz-config-2       |DatabaseUtil                  |I| - stores UpperCase          [false]
2016-10-22 23:03:21,906 |OFBiz-config-2       |DatabaseUtil                  |I| - max table name length     [63]
2016-10-22 23:03:21,906 |OFBiz-config-2       |DatabaseUtil                  |I| - max column name length    [63]
2016-10-22 23:03:21,906 |OFBiz-config-2       |DatabaseUtil                  |I| - concurrent connections    [8192]
2016-10-22 23:03:21,907 |OFBiz-config-2       |DatabaseUtil                  |I| - concurrent statements     [0]
2016-10-22 23:03:21,907 |OFBiz-config-2       |DatabaseUtil                  |I| - ANSI SQL92 Entry          [true]
2016-10-22 23:03:21,908 |OFBiz-config-2       |DatabaseUtil                  |I| - ANSI SQL92 Intermediate   [false]
2016-10-22 23:03:21,908 |OFBiz-config-2       |DatabaseUtil                  |I| - ANSI SQL92 Full           [false]
2016-10-22 23:03:21,909 |OFBiz-config-2       |DatabaseUtil                  |I| - ODBC SQL Grammar Core     [false]
2016-10-22 23:03:21,909 |OFBiz-config-2       |DatabaseUtil                  |I| - ODBC SQL Grammar Extended [false]
2016-10-22 23:03:21,909 |OFBiz-config-2       |DatabaseUtil                  |I| - ODBC SQL Grammar Minimum  [true]
2016-10-22 23:03:21,910 |OFBiz-config-2       |DatabaseUtil                  |I| - outer joins               [true]*
2016-10-22 23:03:21,910 |OFBiz-config-2       |DatabaseUtil                  |I| - limited outer joins       [true]
2016-10-22 23:03:21,911 |OFBiz-config-2       |DatabaseUtil                  |I| - full outer joins          [true]
2016-10-22 23:03:21,911 |OFBiz-config-2       |DatabaseUtil                  |I| - group by                  [true]*
2016-10-22 23:03:21,912 |OFBiz-config-2       |DatabaseUtil                  |I| - group by not in select    [true]
2016-10-22 23:03:21,912 |OFBiz-config-2       |DatabaseUtil                  |I| - column aliasing           [true]
2016-10-22 23:03:21,913 |OFBiz-config-2       |DatabaseUtil                  |I| - order by not in select    [true]
2016-10-22 23:03:21,914 |OFBiz-config-2       |DatabaseUtil                  |I| - alter table add column    [true]*
2016-10-22 23:03:21,914 |OFBiz-config-2       |DatabaseUtil                  |I| - non-nullable column       [true]*
2016-10-22 23:03:21,922 |OFBiz-config-2       |DatabaseUtil                  |I| - default fetchsize        [0]
2016-10-22 23:03:21,922 |OFBiz-config-2       |DatabaseUtil                  |I| - named parameters         [ SKIPPED ]
2016-10-22 23:03:21,923 |OFBiz-config-2       |DatabaseUtil                  |I| Getting Table Info From Database
2016-10-22 23:03:22,483 |OFBiz-config-2       |DatabaseUtil                  |I| Getting Column Info From Database
2016-10-22 23:03:24,541 |OFBiz-config-2       |DatabaseUtil                  |I| Reviewed 1634 primary key fields from database.
2016-10-22 23:03:24,651 |OFBiz-config-2       |DatabaseUtil                  |W| Table named [public.COURSE_MASTER] exists in the database but has no corresponding entity
2016-10-22 23:03:24,651 |OFBiz-config-2       |DatabaseUtil                  |W| Table named [public.STUDENT_DETAILS] exists in the database but has no corresponding entity
2016-10-22 23:03:24,651 |OFBiz-config-2       |DatabaseUtil                  |W| Table named [public.SUBJECT_MASTER] exists in the database but has no corresponding entity
2016-10-22 23:03:24,790 |main                 |ServiceDispatcher             |I| [ServiceDispatcher] : Creating new instance.
2016-10-22 23:03:25,178 |main                 |ServiceGroupReader            |I| Loaded [  1] Group definitions from file:/C:/Users/Windows/git/IMSProject/IMS/framework/common/servicedef/groups_test.xml
2016-10-22 23:03:25,220 |main                 |ServiceGroupReader            |I| Loaded [  4] Group definitions from file:/C:/Users/Windows/git/IMSProject/IMS/framework/entityext/servicedef/groups.xml
2016-10-22 23:03:25,254 |main                 |ServiceGroupReader            |I| Loaded [  2] Group definitions from file:/C:/Users/Windows/git/IMSProject/IMS/applications/workeffort/servicedef/service_groups.xml
2016-10-22 23:03:25,291 |main                 |ServiceGroupReader            |I| Loaded [  4] Group definitions from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/groups.xml
2016-10-22 23:03:25,423 |OFBiz-config-0       |ServiceEcaUtil                |I| Loaded [  0] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/framework/common/servicedef/secas_cdyne.xml
2016-10-22 23:03:25,475 |OFBiz-config-2       |ServiceEcaUtil                |I| Loaded [  3] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/framework/service/servicedef/secas_test_se.xml
2016-10-22 23:03:25,476 |OFBiz-config-3       |ServiceEcaUtil                |I| Loaded [ 22] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/party/servicedef/secas.xml
2016-10-22 23:03:25,514 |OFBiz-config-0       |ServiceEcaUtil                |I| Loaded [ 28] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/content/servicedef/secas.xml
2016-10-22 23:03:25,489 |OFBiz-config-1       |ServiceEcaUtil                |I| Loaded [  4] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/framework/common/servicedef/secas_test.xml
2016-10-22 23:03:25,580 |OFBiz-config-3       |ServiceEcaUtil                |I| Loaded [ 24] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/secas.xml
2016-10-22 23:03:25,595 |OFBiz-config-2       |ServiceEcaUtil                |I| Loaded [ 10] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/workeffort/servicedef/secas.xml
2016-10-22 23:03:25,624 |OFBiz-config-0       |ServiceEcaUtil                |I| Loaded [ 23] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/secas_shipment.xml
2016-10-22 23:03:25,659 |OFBiz-config-1       |ServiceEcaUtil                |I| Loaded [  2] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/secas_olap.xml
2016-10-22 23:03:25,715 |OFBiz-config-2       |ServiceEcaUtil                |I| Loaded [ 21] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/secas.xml
2016-10-22 23:03:25,721 |OFBiz-config-3       |ServiceEcaUtil                |I| Loaded [  4] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/manufacturing/servicedef/secas.xml
2016-10-22 23:03:25,748 |OFBiz-config-0       |ServiceEcaUtil                |I| Loaded [  8] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/secas_payment.xml
2016-10-22 23:03:25,809 |OFBiz-config-3       |ServiceEcaUtil                |I| Loaded [  6] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/secas_invoice.xml
2016-10-22 23:03:25,814 |OFBiz-config-1       |ServiceEcaUtil                |I| Loaded [ 22] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/secas_ledger.xml
2016-10-22 23:03:25,913 |OFBiz-config-2       |ServiceEcaUtil                |I| Loaded [  1] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/accounting/servicedef/secas_olap.xml
2016-10-22 23:03:25,928 |OFBiz-config-0       |ServiceEcaUtil                |I| Loaded [ 77] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/order/servicedef/secas.xml
2016-10-22 23:03:25,939 |OFBiz-config-1       |ServiceEcaUtil                |I| Loaded [  0] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/commonext/servicedef/secas.xml
2016-10-22 23:03:25,943 |OFBiz-config-3       |ServiceEcaUtil                |I| Loaded [ 10] Service ECA Rules from file:/C:/Users/Windows/git/IMSProject/IMS/applications/marketing/servicedef/secas.xml
2016-10-22 23:03:26,745 |OFBiz-JobPoller      |JobPoller                     |I| JobPoller thread started.
2016-10-22 23:03:26,753 |enerFactory@173158e8 |JmsListenerFactory            |I| Starting JMS Listener Factory Thread
2016-10-22 23:03:26,754 |enerFactory@173158e8 |JmsListenerFactory            |I| JMS Listener Factory Thread Finished; All listeners connected.
2016-10-22 23:03:27,029 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [  2] Services from file:/C:/Users/Windows/git/IMSProject/IMS/framework/common/servicedef/services_olap.xml
2016-10-22 23:03:27,043 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [  2] Services from file:/C:/Users/Windows/git/IMSProject/IMS/framework/common/servicedef/services_cdyne.xml
2016-10-22 23:03:27,047 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [ 15] Services from file:/C:/Users/Windows/git/IMSProject/IMS/framework/common/servicedef/services_email.xml
2016-10-22 23:03:27,073 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [ 99] Services from file:/C:/Users/Windows/git/IMSProject/IMS/framework/common/servicedef/services.xml
2016-10-22 23:03:27,160 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [ 38] Services from file:/C:/Users/Windows/git/IMSProject/IMS/framework/common/servicedef/services_test.xml
2016-10-22 23:03:27,165 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [ 11] Services from file:/C:/Users/Windows/git/IMSProject/IMS/framework/service/servicedef/services.xml
2016-10-22 23:03:27,210 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [ 13] Services from file:/C:/Users/Windows/git/IMSProject/IMS/framework/common/servicedef/services_security.xml
2016-10-22 23:03:27,249 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [ 18] Services from file:/C:/Users/Windows/git/IMSProject/IMS/framework/service/servicedef/services_test_se.xml
2016-10-22 23:03:27,256 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [ 41] Services from file:/C:/Users/Windows/git/IMSProject/IMS/framework/entityext/servicedef/services.xml
2016-10-22 23:03:27,274 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [  3] Services from file:/C:/Users/Windows/git/IMSProject/IMS/framework/bi/servicedef/services.xml
2016-10-22 23:03:27,305 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [  1] Services from file:/C:/Users/Windows/git/IMSProject/IMS/framework/testtools/servicedef/services.xml
2016-10-22 23:03:27,353 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [ 10] Services from file:/C:/Users/Windows/git/IMSProject/IMS/framework/webtools/servicedef/services.xml
2016-10-22 23:03:27,404 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [ 12] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/party/servicedef/services_view.xml
2016-10-22 23:03:27,415 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [  1] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/securityext/servicedef/services.xml
2016-10-22 23:03:27,541 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [ 35] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/content/servicedef/services_contenttypes.xml
2016-10-22 23:03:27,599 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [ 25] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/content/servicedef/services_content.xml
2016-10-22 23:03:27,667 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [ 28] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/content/servicedef/services_data.xml
2016-10-22 23:03:27,681 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [156] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/party/servicedef/services.xml
2016-10-22 23:03:27,701 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [125] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/content/servicedef/services.xml
2016-10-22 23:03:27,725 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [  2] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/content/servicedef/services_output.xml
2016-10-22 23:03:27,793 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [ 42] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/content/servicedef/services_survey.xml
2016-10-22 23:03:27,812 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [  5] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/content/servicedef/services_commevent.xml
2016-10-22 23:03:27,822 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [ 19] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/content/servicedef/services_website.xml
2016-10-22 23:03:27,892 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [  1] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/workeffort/servicedef/services_upgrade.xml
2016-10-22 23:03:27,919 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [ 17] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/workeffort/servicedef/services_timesheet.xml
2016-10-22 23:03:27,952 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [ 99] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/workeffort/servicedef/services.xml
2016-10-22 23:03:28,022 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [ 30] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/services_feature.xml
2016-10-22 23:03:28,094 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [ 22] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/services_maint.xml
2016-10-22 23:03:28,122 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [ 22] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/services_picklist.xml
2016-10-22 23:03:28,153 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [107] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/services_facility.xml
2016-10-22 23:03:28,180 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [  6] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/services_shipmentgateway.xml
2016-10-22 23:03:28,184 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [ 40] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/services_pricepromo.xml
2016-10-22 23:03:28,188 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [204] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/services.xml
2016-10-22 23:03:28,254 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [  2] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/services_shipment_fedex.xml
2016-10-22 23:03:28,275 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [  9] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/services_shipment_ups.xml
2016-10-22 23:03:28,318 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [  3] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/services_shipment_dhl.xml
2016-10-22 23:03:28,321 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [ 10] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/services_shipment_usps.xml
2016-10-22 23:03:28,358 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [ 47] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/services_store.xml
2016-10-22 23:03:28,378 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [ 16] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/services_subscription.xml
2016-10-22 23:03:28,417 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [  2] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/services_rental.xml
2016-10-22 23:03:28,429 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [ 98] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/services_shipment.xml
2016-10-22 23:03:28,438 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [ 13] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/services_view.xml
2016-10-22 23:03:28,480 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [  2] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/services_uom.xml
2016-10-22 23:03:28,512 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [ 15] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/services_cost.xml
2016-10-22 23:03:28,535 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [  3] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/services_upgrade.xml
2016-10-22 23:03:28,539 |OFBiz-config-3       |ModelServiceReader            |I| Loaded [  6] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/product/servicedef/services_olap.xml
2016-10-22 23:03:28,564 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [  1] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/manufacturing/servicedef/services.xml
2016-10-22 23:03:28,589 |OFBiz-config-0       |ModelServiceReader            |I| Loaded [ 12] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/manufacturing/servicedef/services_calendar.xml
2016-10-22 23:03:28,594 |OFBiz-config-1       |ModelServiceReader            |I| Loaded [  5] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/manufacturing/servicedef/services_routing.xml
2016-10-22 23:03:28,633 |OFBiz-config-2       |ModelServiceReader            |I| Loaded [ 13] Services from file:/C:/Users/Windows/git/IMSProject/IMS/applications/manufacturing/servicedef/services_bom.xml
